,Age,Gender,City,Position,Years of experience,Your level,Current Salary,Salary one year ago,Salary two years ago
225,27.0,M,München,BackEnd_Developer,6.0,Senior,75000.0,71000.0,68000.0
226,36.0,M,Berlin,BackEnd_Developer,12.0,Senior,80000.0,80000.0,80000.0
230,32.0,M,Berlin,Data Scientist,5.0,Senior,87000.0,,60000.0
231,,M,München,BackEnd_Developer,9.0,Senior,80000.0,66000.0,65000.0
233,39.0,M,München,BackEnd_Developer,15.0,Senior,68000.0,68000.0,64000.0
240,31.0,M,Berlin,BackEnd_Developer,10.0,Senior,95000.0,82000.0,76000.0
248,,M,Berlin,BackEnd_Developer,8.0,Middle,65000.0,50000.0,45000.0
255,31.0,M,Berlin,BackEnd_Developer,11.0,Senior,61000.0,55000.0,49000.0
256,25.0,M,Berlin,FullStack_Developer,5.0,Senior,60000.0,53000.0,47000.0
257,25.0,M,Berlin,BackEnd_Developer,4.0,Middle,48000.0,42000.0,38000.0
265,35.0,M,München,BackEnd_Developer,15.0,Senior,85000.0,65000.0,65000.0
267,27.0,M,München,BackEnd_Developer,6.0,Senior,68000.0,55700.0,50000.0
268,33.0,M,München,BackEnd_Developer,12.0,Senior,75000.0,68000.0,65000.0
274,32.0,M,Berlin,BackEnd_Developer,8.0,Senior,60000.0,55000.0,48000.0
275,31.0,F,Berlin,BackEnd_Developer,10.0,Senior,44000.0,40000.0,40000.0
277,,F,Frankfurt,BackEnd_Developer,5.0,Middle,55000.0,48000.0,42000.0
278,,M,München,BackEnd_Developer,18.0,Senior,67000.0,67000.0,67000.0
281,33.0,M,München,BackEnd_Developer,11.0,Senior,92000.0,76000.0,76000.0
282,33.0,M,Berlin,BackEnd_Developer,16.0,Senior,95000.0,80000.0,80000.0
283,38.0,M,München,FrontEnd_Developer,5.0,Senior,70000.0,50000.0,40000.0
284,30.0,M,,BackEnd_Developer,11.0,Senior,115000.0,,75000.0
285,28.0,M,Berlin,BackEnd_Developer,7.0,Senior,70000.0,65000.0,62000.0
286,37.0,M,Brno,BackEnd_Developer,17.0,Middle,35000.0,25000.0,15000.0
290,37.0,M,Berlin,BackEnd_Developer,17.0,Senior,80000.0,65000.0,61000.0
291,,M,München,Data Scientist,5.0,Middle,90000.0,90000.0,50000.0
294,30.0,M,Berlin,BackEnd_Developer,2.5,Middle,52000.0,48000.0,42500.0
296,30.0,M,Berlin,BackEnd_Developer,8.0,Senior,72000.0,55000.0,55000.0
299,27.0,M,Berlin,BackEnd_Developer,5.0,Middle,63000.0,56000.0,52000.0
300,30.0,M,Berlin,FrontEnd_Developer,,Senior,73300.0,67000.0,55000.0
302,34.0,M,Berlin,BackEnd_Developer,12.0,Senior,73500.0,70000.0,65000.0
303,31.0,M,Berlin,BackEnd_Developer,10.0,Senior,83000.0,65000.0,57000.0
304,33.0,M,Krakow,BackEnd_Developer,7.0,Senior,42000.0,35000.0,20000.0
306,30.0,M,Berlin,BackEnd_Developer,9.0,Senior,130000.0,120000.0,120000.0
309,,M,Dublin,BackEnd_Developer,7.0,Senior,57000.0,53000.0,51000.0
311,30.0,M,Amsterdam,BackEnd_Developer,8.0,Senior,65000.0,58000.0,58000.0
313,33.0,M,München,BackEnd_Developer,12.0,Middle,70000.0,66000.0,60000.0
316,33.0,M,Berlin,BackEnd_Developer,12.0,Senior,85000.0,65000.0,65000.0
318,34.0,M,Berlin,BackEnd_Developer,5.0,Middle,62000.0,60000.0,58000.0
319,40.0,M,München,BackEnd_Developer,20.0,Senior,60000.0,55000.0,50000.0
325,28.0,M,Amsterdam,BackEnd_Developer,6.0,Senior,70000.0,30000.0,26000.0
326,,F,München,BackEnd_Developer,7.0,Senior,62000.0,55000.0,52000.0
328,30.0,M,Berlin,BackEnd_Developer,5.0,Senior,60000.0,50000.0,45000.0
330,33.0,M,Konstanz,Data Scientist,10.0,Middle,65000.0,60000.0,60000.0
335,31.0,M,Amsterdam,BackEnd_Developer,10.0,Senior,68000.0,65000.0,65000.0
336,28.0,M,Berlin,BackEnd_Developer,8.0,Senior,60000.0,55000.0,45000.0
337,26.0,M,Hamburg,BackEnd_Developer,5.0,Senior,81000.0,78000.0,63000.0
343,33.0,M,Stuttgart,BackEnd_Developer,8.0,Middle,68000.0,68000.0,56000.0
344,36.0,M,Dublin ,BackEnd_Developer,7.0,Senior,90000.0,77000.0,70000.0
345,30.0,M,München,Data Scientist,6.0,Middle,80000.0,72000.0,66000.0
346,28.0,M,Amsterdam,BackEnd_Developer,10.0,Senior,80000.0,75000.0,70000.0
347,32.0,M,München,FrontEnd_Developer,7.0,Senior,65000.0,63000.0,63000.0
348,30.0,M,Amsterdam,BackEnd_Developer,10.0,Senior,70000.0,24000.0,22000.0
351,30.0,M,Berlin,BackEnd_Developer,4.0,Middle,55000.0,51000.0,49000.0
352,,M,München,FrontEnd_Developer,8.0,Senior,65000.0,60000.0,50000.0
355,32.0,M,Berlin,BackEnd_Developer,11.0,Senior,87000.0,75000.0,72000.0
356,30.0,M,Berlin,BackEnd_Developer,8.0,Senior,66000.0,63000.0,53000.0
359,31.0,M,Berlin,BackEnd_Developer,9.0,Senior,60000.0,60000.0,60000.0
369,26.0,M,Berlin,FullStack_Developer,6.0,Senior,60000.0,54000.0,45000.0
372,34.0,M,München,BackEnd_Developer,14.0,Senior,70000.0,65000.0,60000.0
373,33.0,M,Berlin,BackEnd_Developer,10.0,Senior,54000.0,48000.0,48000.0
375,,M,München,BackEnd_Developer,18.0,Senior,140000.0,75000.0,70000.0
376,34.0,M,Berlin,BackEnd_Developer,10.0,Senior,76000.0,68000.0,62000.0
378,30.0,M,Moscow,BackEnd_Developer,10.0,Senior,31500.0,17400.0,10001.0
380,37.0,M,Berlin,BackEnd_Developer,6.0,Senior,52000.0,42000.0,40000.0
381,30.0,M,Berlin,BackEnd_Developer,9.0,Senior,75000.0,65000.0,57000.0
382,37.0,F,Berlin,BackEnd_Developer,10.0,Senior,68000.0,58000.0,55000.0
391,22.0,M,"Belgrade, Serbia",FrontEnd_Developer,10.0,Senior,120000.0,100000.0,100000.0
392,35.0,M,Kyiv,BackEnd_Developer,10.0,Senior,43000.0,43000.0,43000.0
394,29.0,M,Berlin,BackEnd_Developer,7.0,Senior,70000.0,70000.0,54000.0
398,25.0,M,Berlin,BackEnd_Developer,3.0,Middle,75000.0,55000.0,48000.0
400,37.0,M,Berlin,BackEnd_Developer,6.0,Senior,63000.0,63000.0,55000.0
402,34.0,M,Amsterdam,UX_Designer,10.0,Senior,57000.0,56000.0,55000.0
403,30.0,M,Frankfurt,Data Scientist,7.0,Senior,112000.0,105000.0,105000.0
404,27.0,M,Berlin,BackEnd_Developer,11.0,Senior,100000.0,80000.0,70000.0
407,32.0,F,München,FullStack_Developer,3.0,Junior,44000.0,42000.0,42000.0
408,31.0,M,Nürnberg,BackEnd_Developer,6.0,Middle,59000.0,50000.0,50000.0
409,38.0,M,München,BackEnd_Developer,10.0,Senior,66000.0,63000.0,61000.0
410,,M,München,BackEnd_Developer,11.0,Senior,60000.0,60000.0,60000.0
411,36.0,M,Hamburg,BackEnd_Developer,10.0,Senior,65000.0,65000.0,65000.0
412,31.0,F,München,BackEnd_Developer,9.0,Middle,47000.0,45000.0,45000.0
418,29.0,M,München,BackEnd_Developer,9.0,Senior,70000.0,60000.0,55000.0
425,31.0,,München,BackEnd_Developer,14.0,Senior,85000.0,75000.0,65000.0
429,34.0,M,Berlin,BackEnd_Developer,15.0,Senior,60000.0,20000.0,20000.0
432,29.0,M,Krakau,BackEnd_Developer,11.0,Senior,45000.0,39200.0,28000.0
433,27.0,M,München,BackEnd_Developer,5.0,Senior,72000.0,60000.0,55000.0
437,25.0,M,Berlin,BackEnd_Developer,6.0,Senior,60000.0,55000.0,48000.0
440,35.0,M,London,BackEnd_Developer,12.0,Senior,111000.0,95000.0,95000.0
446,30.0,M,Berlin,FrontEnd_Developer,8.0,Senior,75000.0,62000.0,55000.0
448,31.0,M,Berlin,BackEnd_Developer,9.0,Senior,70000.0,60000.0,60000.0
450,27.0,M,Berlin,FrontEnd_Developer,8.0,Senior,70000.0,65000.0,63000.0
452,30.0,M,München,FullStack_Developer,9.0,Senior,75000.0,65000.0,65000.0
453,,M,Berlin,BackEnd_Developer,30.0,Senior,65000.0,56000.0,47000.0
454,25.0,M,Poland,BackEnd_Developer,2.5,Middle,24000.0,16500.0,16500.0
456,33.0,M,Prague,BackEnd_Developer,10.0,Senior,39600.0,33600.0,30000.0
458,33.0,M,Düsseldorf,BackEnd_Developer,12.0,Senior,57000.0,57000.0,57000.0
462,34.0,M,Berlin,BackEnd_Developer,12.0,Senior,67000.0,55000.0,55000.0
463,32.0,M,Berlin,BackEnd_Developer,5.0,Senior,55000.0,55000.0,55000.0
464,31.0,M,Berlin,BackEnd_Developer,9.0,Senior,85000.0,64000.0,58000.0
466,26.0,M,Berlin,BackEnd_Developer,4.0,Middle,20400.0,20400.0,20400.0
471,26.0,F,München,BackEnd_Developer,4.0,Middle,47300.0,41000.0,38000.0
474,36.0,M,Ludwigsburg,BackEnd_Developer,10.0,Senior,100000.0,97000.0,95500.0
486,37.0,M,Berlin,BackEnd_Developer,15.0,Senior,86000.0,77000.0,74000.0
488,,M,"Alicante, Spain",BackEnd_Developer,5.0,Senior,34000.0,31000.0,24000.0
489,32.0,M,München,BackEnd_Developer,10.0,Senior,69000.0,65000.0,50000.0
490,32.0,M,München,BackEnd_Developer,10.0,Senior,69000.0,65000.0,50000.0
491,38.0,M,Berlin,Data Scientist,5.0,Senior,60000.0,60000.0,54000.0
492,27.0,M,Warsaw,Data Scientist,2.0,Middle,19200.0,14400.0,10800.0
497,33.0,M,Berlin,BackEnd_Developer,5.0,Middle,51750.0,45000.0,37050.0
499,36.0,M,Amsterdam,BackEnd_Developer,13.0,Senior,80000.0,80000.0,72000.0
500,30.0,F,München,BackEnd_Developer,5.0,Middle,58000.0,56000.0,54000.0
505,30.0,M,Berlin,BackEnd_Developer,8.0,Senior,70000.0,66000.0,65000.0
508,36.0,M,Berlin,BackEnd_Developer,15.0,Senior,75000.0,69000.0,66000.0
509,40.0,M,München,FrontEnd_Developer,12.0,Senior,69600.0,65000.0,62000.0
513,37.0,M,Stuttgart,BackEnd_Developer,6.0,Senior,58500.0,12000.0,10500.0
514,32.0,M,Berlin,Data Scientist,9.0,Senior,130000.0,115000.0,115000.0
515,32.0,M,Frankfurt,BackEnd_Developer,10.0,Senior,80000.0,52000.0,42000.0
518,32.0,M,Dublin,BackEnd_Developer,10.0,Senior,96000.0,93000.0,91000.0
520,35.0,M,Hamburg,BackEnd_Developer,15.0,Senior,60000.0,63000.0,55000.0
521,29.0,M,München,BackEnd_Developer,11.0,Senior,120000.0,85000.0,75000.0
522,27.0,F,München,BackEnd_Developer,6.0,Middle,70000.0,65000.0,55000.0
526,30.0,M,München,BackEnd_Developer,6.0,Senior,70000.0,56000.0,56000.0
532,33.0,M,München,BackEnd_Developer,4.0,Middle,65000.0,50000.0,50000.0
534,32.0,M,,BackEnd_Developer,11.0,Senior,65000.0,65000.0,65000.0
535,,F,Berlin,BackEnd_Developer,2.0,Junior,47250.0,45000.0,45000.0
536,33.0,M,Berlin,BackEnd_Developer,12.0,Senior,87000.0,77000.0,70000.0
537,32.0,M,München,BackEnd_Developer,12.0,Senior,85000.0,80000.0,75000.0
542,34.0,M,Berlin,BackEnd_Developer,15.0,Senior,69000.0,60000.0,60000.0
543,31.0,M,Berlin,FullStack_Developer,8.0,Senior,77000.0,72000.0,54000.0
544,32.0,M,Berlin,BackEnd_Developer,7.0,Senior,73000.0,68000.0,69000.0
548,60.0,F,München,BackEnd_Developer,38.0,,58000.0,58000.0,58000.0
556,31.0,M,Berlin,BackEnd_Developer,4.0,Senior,65000.0,45000.0,40000.0
557,47.0,M,München,BackEnd_Developer,11.0,Senior,66000.0,66000.0,65000.0
558,,M,London,Data Scientist,10.0,Senior,90000.0,90000.0,70000.0
560,33.0,M,München,FullStack_Developer,7.0,Senior,70000.0,70000.0,65000.0
561,32.0,M,Hildesheim,BackEnd_Developer,12.0,Senior,60000.0,60000.0,60000.0
562,,M,München,BackEnd_Developer,7.0,Middle,78000.0,75000.0,75000.0
563,47.0,M,Berlin,BackEnd_Developer,10.0,Senior,64500.0,64000.0,62000.0
564,31.0,M,Berlin,Data Scientist,7.0,Senior,96000.0,85000.0,85000.0
565,,M,Berlin,FrontEnd_Developer,7.0,Senior,68000.0,64000.0,60000.0
567,33.0,M,Berlin,BackEnd_Developer,10.0,Senior,122000.0,110000.0,102000.0
568,46.0,M,London,Data Scientist,21.0,Middle,90000.0,90000.0,90000.0
570,43.0,M,Frankfurt,BackEnd_Developer,18.0,Senior,60000.0,60000.0,60000.0
571,32.0,F,Hamburg,BackEnd_Developer,10.0,,65000.0,65000.0,55000.0
575,31.0,M,Berlin,BackEnd_Developer,4.0,Middle,60000.0,52600.0,48000.0
581,26.0,M,Köln,BackEnd_Developer,1.5,Junior,46000.0,44000.0,18000.0
582,27.0,M,Berlin,BackEnd_Developer,5.0,Senior,73000.0,69000.0,60000.0
587,32.0,M,Stuttgart,BackEnd_Developer,7.0,Middle,74000.0,55000.0,50000.0
588,26.0,M,"Krakow, Poland",BackEnd_Developer,4.5,Senior,39150.0,33550.0,27950.0
589,25.0,M,München,BackEnd_Developer,2.0,Junior,60000.0,10800.0,10800.0
593,,M,Darmstadt,BackEnd_Developer,9.0,Senior,70000.0,65000.0,62000.0
594,,M,Stuttgart ,BackEnd_Developer,8.0,Senior,72000.0,65000.0,55000.0
595,30.0,M,Hamburg,BackEnd_Developer,4.0,Middle,40800.0,38000.0,38000.0
596,30.0,F,München,BackEnd_Developer,5.0,Middle,50000.0,46000.0,44000.0
600,29.0,M,Berlin,BackEnd_Developer,8.0,Senior,67500.0,67500.0,50000.0
601,28.0,F,Frankfurt,BackEnd_Developer,3.0,Middle,50000.0,43000.0,40000.0
603,,M,Berlin,BackEnd_Developer,6.0,Senior,80000.0,62000.0,53000.0
609,30.0,M,Stockholm,BackEnd_Developer,12.0,Senior,65000.0,63000.0,52000.0
611,26.0,M,München,FrontEnd_Developer,3.0,Junior,37000.0,37000.0,37000.0
616,,M,Brussels,BackEnd_Developer,12.0,Senior,75000.0,65000.0,45000.0
619,30.0,M,München,BackEnd_Developer,7.0,Senior,68000.0,68000.0,60000.0
621,32.0,M,München,BackEnd_Developer,10.0,Senior,65000.0,65000.0,55000.0
622,30.0,M,München,Data Scientist,5.0,Middle,60000.0,59000.0,58000.0
624,32.0,F,Dublin,BackEnd_Developer,6.0,Middle,90000.0,40000.0,36000.0
626,33.0,M,Nürnberg ,BackEnd_Developer,6.0,Senior,90000.0,65000.0,50000.0
627,33.0,M,Nürnberg ,BackEnd_Developer,6.0,Senior,90000.0,65000.0,50000.0
629,43.0,M,Schleswig-Holstein,BackEnd_Developer,16.0,Senior,103000.0,93000.0,90000.0
632,32.0,M,Berlin,Data Scientist,8.0,Senior,125000.0,106000.0,98000.0
633,35.0,M,Berlin,BackEnd_Developer,8.0,Senior,57000.0,54000.0,36000.0
635,33.0,M,Stuttgart,BackEnd_Developer,12.0,Senior,78000.0,55000.0,52000.0
636,33.0,M,Berlin,BackEnd_Developer,12.0,Senior,66000.0,60000.0,55000.0
638,31.0,M,Berlin,BackEnd_Developer,9.0,Middle,70000.0,67000.0,65000.0
639,37.0,M,Berlin,BackEnd_Developer,8.0,Senior,75000.0,60000.0,50000.0
640,27.0,M,Berlin,BackEnd_Developer,10.0,Senior,60000.0,80000.0,56000.0
641,,M,München,BackEnd_Developer,,Senior,90000.0,80000.0,60000.0
644,37.0,M,München,BackEnd_Developer,15.0,Senior,80000.0,77000.0,65000.0
646,33.0,M,München,BackEnd_Developer,10.0,Senior,72000.0,69000.0,66000.0
647,30.0,M,München,BackEnd_Developer,10.0,Senior,70000.0,70000.0,75000.0
651,31.0,M,München,BackEnd_Developer,11.0,Senior,80000.0,65000.0,60000.0
653,33.0,M,Frankfurt,BackEnd_Developer,11.0,Senior,72000.0,72000.0,68000.0
654,32.0,M,Berlin,BackEnd_Developer,9.0,Senior,83000.0,70000.0,66000.0
655,27.0,M,Berlin,BackEnd_Developer,6.0,Middle,60000.0,67000.0,51000.0
660,35.0,M,München,BackEnd_Developer,12.0,Senior,70000.0,64000.0,61000.0
661,34.0,M,München,BackEnd_Developer,11.0,Senior,72000.0,68000.0,65000.0
663,26.0,M,Berlin,FullStack_Developer,5.0,Senior,65000.0,54000.0,40000.0
664,30.0,M,Vienna,BackEnd_Developer,7.0,Middle,42000.0,44800.0,44800.0
667,28.0,M,Berlin,BackEnd_Developer,6.0,Middle,48000.0,48000.0,48000.0
670,33.0,F,Berlin,BackEnd_Developer,4.0,Middle,55000.0,54000.0,39000.0
671,30.0,M,Berlin,FullStack_Developer,10.0,Senior,75000.0,70000.0,70000.0
673,32.0,M,Berlin,BackEnd_Developer,9.0,Senior,65000.0,60000.0,60000.0
678,33.0,M,Limassol,BackEnd_Developer,12.0,Senior,39600.0,36000.0,36000.0
680,37.0,M,Berlin,BackEnd_Developer,15.0,Senior,65000.0,55000.0,50000.0
682,30.0,M,München,Data Scientist,7.0,Senior,120000.0,110000.0,100000.0
683,,M,München,FullStack_Developer,15.0,Senior,130000.0,90000.0,90000.0
687,32.0,M,Frankfurt,BackEnd_Developer,,Senior,72000.0,68600.0,60000.0
689,30.0,M,Berlin,FullStack_Developer,10.0,Middle,47000.0,47000.0,38000.0
690,,M,München,BackEnd_Developer,5.0,Middle,75000.0,60000.0,55000.0
692,29.0,M,München,BackEnd_Developer,8.0,Senior,77000.0,55000.0,44000.0
694,36.0,F,München,BackEnd_Developer,7.0,Senior,80000.0,75000.0,72000.0
696,29.0,M,Berlin,FrontEnd_Developer,9.0,Senior,60000.0,55000.0,52000.0
697,,M,München,BackEnd_Developer,7.0,Senior,71000.0,68000.0,64000.0
701,30.0,M,Bonn,BackEnd_Developer,7.0,Senior,62500.0,55000.0,48000.0
704,27.0,M,München,BackEnd_Developer,6.0,Middle,65000.0,65000.0,50000.0
709,30.0,,Berlin,BackEnd_Developer,10.0,Senior,85000.0,75000.0,65000.0
712,44.0,M,Berlin,BackEnd_Developer,20.0,Senior,65000.0,60000.0,58000.0
713,,M,Stuttgart,BackEnd_Developer,8.0,Senior,80400.0,67000.0,60000.0
715,30.0,M,Berlin,BackEnd_Developer,10.0,Senior,75000.0,72000.0,36000.0
